country,iso3,components,currency,start_date_observations,end_date_observations,number_of_markets_modeled,number_of_markets_covered,number_of_food_items,number_of_observations,data_coverage,data_coverage_previous_12_months,total_price_increase_since_start_date,average_annualized_inflation,maximum_drawdown,average_annualized_volatility,average_monthly_price_correlation_between_markets,average_annual_price_correlation_between_markets,Rsquared_individual_food_items,imputation_model,F_confidence_score
Afghanistan,AFG,"Bread (1 KG, Index Weight = 1), Rice (Low Quality) (1 KG, Index Weight = 1), Wheat (1 KG, Index Weight = 1)",AFN,Jan 2007,Aug 2022,9,40,3,"bread: 1271, rice: 1820, wheat: 1834",74.93%,39.81%,147.94%,6%,-41.02%,7.85%,0.54,0.84,"bread: 0.9, rice: 0.87, wheat: 0.91","bread: nonlinear, rice: nonlinear, wheat: nonlinear",0.89
Burkina Faso,BFA,"Beans (Niebe) (1 KG, Index Weight = 1), Maize (White) (1 KG, Index Weight = 1), Millet (1 KG, Index Weight = 1)",XOF,Jan 2007,Jul 2022,63,64,3,"beans: 4635, maize: 5483, millet: 6358",46.36%,86.14%,230.71%,7.98%,-38.47%,14.33%,0.66,0.86,"maize: 0.81, millet: 0.8, sorghum: 0.78","beans: linear, maize: nonlinear, millet: nonlinear",0.8
Burundi,BDI,"Bananas (1 KG, Index Weight = 1), Beans (1 KG, Index Weight = 1), Cassava Flour (1 KG, Index Weight = 1), Maize (White) (1 KG, Index Weight = 1), Maize Flour (1 KG, Index Weight = 1), Onions (1 KG, Index Weight = 1), Sweet Potatoes (1 KG, Index Weight = 1), Rice (Low Quality, Local) (1 KG, Index Weight = 1)",BIF,Jan 2007,Jul 2022,63,72,8,"rice: 3898, beans: 3479, maize: 3590, bananas: 3414, cassava_flour: 3990, maize_flour: 3229, onions: 3525, potatoes: 4020",30.48%,55.98%,113.53%,4.99%,-28.58%,10.81%,0.51,0.78,"beans: 0.89, cassava_flour: 0.84, potatoes: 0.77, rice: 0.83, maize: 0.82, bananas: 0.71, maize_flour: 0.81, onions: 0.52","rice: linear, beans: nonlinear, maize: linear, bananas: linear, cassava_flour: nonlinear, maize_flour: linear, onions: linear, potatoes: nonlinear",0.79
Cameroon,CMR,"Bananas (12 KG, Index Weight = 0.08), Cassava (Fresh) (5 KG, Index Weight = 0.2), CocoYam (Macabo) (20 KG, Index Weight = 0.05), Maize (White) (1 KG, Index Weight = 1), Plantains (12 KG, Index Weight = 0.08), Rice (Long Grain, Imported) (1 KG, Index Weight = 1), Wheat Flour (1 KG, Index Weight = 1)",XAF,Jan 2007,Aug 2022,10,64,7,"rice: 963, wheat_flour: 475, maize: 943, bananas: 469, cassava: 455, cocoyam: 483, plantains: 522",5.12%,48.1%,81.48%,3.9%,-6.38%,4.51%,0.6,0.69,"rice: 0.96, wheat_flour: 0.97, maize: 0.98, bananas: 0.96, cassava: 0.96, cocoyam: 0.98, plantains: 0.98","rice: linear, wheat_flour: linear, maize: linear, bananas: linear, cassava: linear, cocoyam: linear, plantains: linear",0.97
Central African Republic,CAF,"Maize (1 KG, Index Weight = 1), Oil (Palm) (1 L, Index Weight = 1), Rice (1 KG, Index Weight = 1)",XAF,Jan 2008,Aug 2022,22,42,3,"oil: 1119, rice: 1229, maize: 931",27.16%,85.13%,23.21%,1.41%,-16.66%,9.04%,0.22,0.15,"maize: 0.56, cassava: 0.51, oil: 0.45","oil: linear, rice: linear, maize: nonlinear",0.51
Chad,TCD,"Maize (White) (1 KG, Index Weight = 1), Millet (1 KG, Index Weight = 1), Sorghum (Red) (1 KG, Index Weight = 1)",XAF,Jan 2007,Jul 2022,37,61,3,"maize: 1739, millet: 3294, sorghum: 2774",35.87%,56.38%,97.44%,4.46%,-42.45%,16.7%,0.53,0.85,"maize: 0.67, millet: 0.75, sorghum: 0.74","maize: nonlinear, millet: nonlinear, sorghum: nonlinear",0.72
"Congo, Dem. Rep.",COD,"Beans (1 KG, Index Weight = 1), Cassava (Cossette) (1 KG, Index Weight = 1), Cassava Flour (1 KG, Index Weight = 1), Maize (1 KG, Index Weight = 1), Maize Meal (1 KG, Index Weight = 1), Oil (Palm) (1 L, Index Weight = 1), Plantains (1 KG, Index Weight = 1), Rice (Local) (1 KG, Index Weight = 1), Salt (1 KG, Index Weight = 1), Sugar (1 KG, Index Weight = 1)",CDF,Nov 2007,Jul 2022,15,83,10,"oil: 1805, rice: 1643, salt: 1532, sugar: 1551, beans: 1628, maize: 1635, cassava_flour: 1802, cassava: 1341, plantains: 1636, maize_meal: 1449",51.12%,23.22%,210.1%,7.97%,-19.01%,7.88%,0.31,0.72,"oil: 0.86, rice: 0.87, salt: 0.84, sugar: 0.91, beans: 0.87, maize: 0.83, cassava_flour: 0.84, cassava: 0.86, plantains: 0.83, maize_meal: 0.81","oil: nonlinear, rice: nonlinear, salt: nonlinear, sugar: nonlinear, beans: nonlinear, maize: nonlinear, cassava_flour: nonlinear, cassava: nonlinear, plantains: nonlinear, maize_meal: nonlinear",0.85
"Congo, Rep.",COG,"Beans (White) (1 KG, Index Weight = 1), Oil (Vegetable) (1 L, Index Weight = 1), Rice (Mixed, Low Quality) (1 KG, Index Weight = 1)",XAF,Oct 2010,Apr 2022,7,13,3,"oil: 422, rice: 540, beans: 529",45.76%,28.57%,12.15%,0.97%,-19.9%,10.34%,0.36,0.68,"rice: 0.82, beans: 0.89, cassava_flour: 0.79","oil: linear, rice: nonlinear, beans: nonlinear",0.84
"Gambia, The",GMB,"Groundnuts (Shelled) (1 KG, Index Weight = 1), Millet (1 KG, Index Weight = 1), Rice (Small Grain, Imported) (1 KG, Index Weight = 1), Sorghum (1 KG, Index Weight = 1)",GMD,Jan 2007,Jun 2022,12,28,4,"rice: 2287, groundnuts: 2162, millet: 2215, sorghum: 1028",65.05%,62.5%,207.56%,7.48%,-35.01%,12.72%,0.39,0.9,"rice: 0.89, groundnuts: 0.83, millet: 0.78, sorghum: 0.59","rice: nonlinear, groundnuts: nonlinear, millet: nonlinear, sorghum: linear",0.79
Guinea-Bissau,GNB,"Oil (Vegetable, Imported) (1 L, Index Weight = 1), Rice (Imported) (1 KG, Index Weight = 1), Sugar (1 KG, Index Weight = 1)",XOF,Aug 2019,Jul 2022,43,45,3,"oil: 822, rice: 764, sugar: 830",19.45%,88.5%,38.66%,4.4%,-11.41%,6.09%,0.53,0.8,"oil: 0.87, rice: 0.91, sugar: 0.8","oil: linear, rice: linear, sugar: linear",0.87
Haiti,HTI,"Beans (Black) (1 Marmite, Index Weight = 0.37), Maize Meal (Local) (1 Marmite, Index Weight = 0.37), Oil (Vegetable, Imported) (1 Gallon, Index Weight = 0.26), Pasta (350 G, Index Weight = 2.86), Rice (Tchako) (1 Marmite, Index Weight = 0.37), Sugar (White) (1 Marmite, Index Weight = 0.37), Wheat Flour (Imported) (1 Marmite, Index Weight = 0.37)",HTG,Jan 2007,Jul 2022,9,9,7,"oil: 887, rice: 1167, sugar: 530, wheat_flour: 1579, beans: 1007, pasta: 393, maize_meal: 1578",60.29%,66.53%,450.3%,11.56%,-32.6%,11.16%,0.52,0.85,"rice: 0.91, wheat_flour: 0.86, maize_meal: 0.87, oil: 0.94, sugar: 0.9, beans: 0.89, pasta: 0.95","oil: linear, rice: nonlinear, sugar: linear, wheat_flour: nonlinear, beans: linear, pasta: linear, maize_meal: nonlinear",0.93
